Name	Name1	Desc	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	V1	added
R19.12	R1912	Hyperactive bowel sounds	Root	R00-R99	R10-R19	R19	R19.1	R19.12	""	""	R1912   Hyperactive bowel sounds	0
R19.15	R1915	Other abnormal bowel sounds	Root	R00-R99	R10-R19	R19	R19.1	R19.15	""	""	R1915   Other abnormal bowel sounds	0
R19.2	R192	Visible peristalsis	Root	R00-R99	R10-R19	R19	R19.2	""	""	""	R192    Visible peristalsis	0
R19.3	R193	Abdominal rigidity	Root	R00-R99	R10-R19	R19	R19.3	""	""	""		0
R19.30	R1930	Abdominal rigidity, unspecified site	Root	R00-R99	R10-R19	R19	R19.3	R19.30	""	""	R1930   Abdominal rigidity, unspecified site	0
R19.31	R1931	Right upper quadrant abdominal rigidity	Root	R00-R99	R10-R19	R19	R19.3	R19.31	""	""	R1931   Right upper quadrant abdominal rigidity	0
R19.32	R1932	Left upper quadrant abdominal rigidity	Root	R00-R99	R10-R19	R19	R19.3	R19.32	""	""	R1932   Left upper quadrant abdominal rigidity	0
R19.33	R1933	Right lower quadrant abdominal rigidity	Root	R00-R99	R10-R19	R19	R19.3	R19.33	""	""	R1933   Right lower quadrant abdominal rigidity	0
R19.34	R1934	Left lower quadrant abdominal rigidity	Root	R00-R99	R10-R19	R19	R19.3	R19.34	""	""	R1934   Left lower quadrant abdominal rigidity	0
R19.35	R1935	Periumbilic abdominal rigidity	Root	R00-R99	R10-R19	R19	R19.3	R19.35	""	""	R1935   Periumbilic abdominal rigidity	0
R19.36	R1936	Epigastric abdominal rigidity	Root	R00-R99	R10-R19	R19	R19.3	R19.36	""	""	R1936   Epigastric abdominal rigidity	0
R19.37	R1937	Generalized abdominal rigidity	Root	R00-R99	R10-R19	R19	R19.3	R19.37	""	""	R1937   Generalized abdominal rigidity	0
R19.4	R194	Change in bowel habit	Root	R00-R99	R10-R19	R19	R19.4	""	""	""	R194    Change in bowel habit	0
R19.5	R195	Other fecal abnormalities	Root	R00-R99	R10-R19	R19	R19.5	""	""	""	R195    Other fecal abnormalities	0
R19.6	R196	Halitosis	Root	R00-R99	R10-R19	R19	R19.6	""	""	""	R196    Halitosis	0
R19.7	R197	Diarrhea, unspecified	Root	R00-R99	R10-R19	R19	R19.7	""	""	""	R197    Diarrhea, unspecified	0
R19.8	R198	Other specified symptoms and signs involving the digestive system and abdomen	Root	R00-R99	R10-R19	R19	R19.8	""	""	""	R198    Other specified symptoms and signs involving the digestive system and abdomen	0
R50	R50	Fever of other and unknown origin	Root	R00-R99	R50-R69	R50	""	""	""	""		0
R50.2	R502	Drug induced fever	Root	R00-R99	R50-R69	R50	R50.2	""	""	""	R502    Drug induced fever	0
R50.8	R508	Other specified fever	Root	R00-R99	R50-R69	R50	R50.8	""	""	""		0
R50.81	R5081	Fever presenting with conditions classified elsewhere	Root	R00-R99	R50-R69	R50	R50.8	R50.81	""	""	R5081   Fever presenting with conditions classified elsewhere	0
R50.82	R5082	Postprocedural fever	Root	R00-R99	R50-R69	R50	R50.8	R50.82	""	""	R5082   Postprocedural fever	0
R50.83	R5083	Postvaccination fever	Root	R00-R99	R50-R69	R50	R50.8	R50.83	""	""	R5083   Postvaccination fever	0
R50.84	R5084	Febrile nonhemolytic transfusion reaction	Root	R00-R99	R50-R69	R50	R50.8	R50.84	""	""	R5084   Febrile nonhemolytic transfusion reaction	0
R50.9	R509	Fever, unspecified	Root	R00-R99	R50-R69	R50	R50.9	""	""	""	R509    Fever, unspecified	0
R51	R51	Headache	Root	R00-R99	R50-R69	R51	""	""	""	""		0
R51.0	R510	Headache with orthostatic component, not elsewhere classified	Root	R00-R99	R50-R69	R51	R51.0	""	""	""	R510    Headache with orthostatic component, not elsewhere classified	0
R51.9	R519	Headache, unspecified	Root	R00-R99	R50-R69	R51	R51.9	""	""	""	R519    Headache, unspecified	0
R52	R52	Pain, unspecified	Root	R00-R99	R50-R69	R52	""	""	""	""	R52     Pain, unspecified	0
R53	R53	Malaise and fatigue	Root	R00-R99	R50-R69	R53	""	""	""	""		0
R53.0	R530	Neoplastic (malignant) related fatigue	Root	R00-R99	R50-R69	R53	R53.0	""	""	""	R530    Neoplastic (malignant) related fatigue	0
R53.1	R531	Weakness	Root	R00-R99	R50-R69	R53	R53.1	""	""	""	R531    Weakness	0
R53.2	R532	Functional quadriplegia	Root	R00-R99	R50-R69	R53	R53.2	""	""	""	R532    Functional quadriplegia	0
R53.8	R538	Other malaise and fatigue	Root	R00-R99	R50-R69	R53	R53.8	""	""	""		0
R53.81	R5381	Other malaise	Root	R00-R99	R50-R69	R53	R53.8	R53.81	""	""	R5381   Other malaise	0
R53.82	R5382	Chronic fatigue, unspecified	Root	R00-R99	R50-R69	R53	R53.8	R53.82	""	""	R5382   Chronic fatigue, unspecified	0
R53.83	R5383	Other fatigue	Root	R00-R99	R50-R69	R53	R53.8	R53.83	""	""	R5383   Other fatigue	0
R54	R54	Age-related physical debility	Root	R00-R99	R50-R69	R54	""	""	""	""	R54     Age-related physical debility	0
R55	R55	Syncope and collapse	Root	R00-R99	R50-R69	R55	""	""	""	""	R55     Syncope and collapse	0
R56	R56	Convulsions, not elsewhere classified	Root	R00-R99	R50-R69	R56	""	""	""	""		0
R56.0	R560	Febrile convulsions	Root	R00-R99	R50-R69	R56	R56.0	""	""	""		0
R56.00	R5600	Simple febrile convulsions	Root	R00-R99	R50-R69	R56	R56.0	R56.00	""	""	R5600   Simple febrile convulsions	0
R56.01	R5601	Complex febrile convulsions	Root	R00-R99	R50-R69	R56	R56.0	R56.01	""	""	R5601   Complex febrile convulsions	0
R56.1	R561	Post traumatic seizures	Root	R00-R99	R50-R69	R56	R56.1	""	""	""	R561    Post traumatic seizures	0
R56.9	R569	Unspecified convulsions	Root	R00-R99	R50-R69	R56	R56.9	""	""	""	R569    Unspecified convulsions	0
R57	R57	Shock, not elsewhere classified	Root	R00-R99	R50-R69	R57	""	""	""	""		0
R57.0	R570	Cardiogenic shock	Root	R00-R99	R50-R69	R57	R57.0	""	""	""	R570    Cardiogenic shock	0
R57.1	R571	Hypovolemic shock	Root	R00-R99	R50-R69	R57	R57.1	""	""	""	R571    Hypovolemic shock	0
R57.8	R578	Other shock	Root	R00-R99	R50-R69	R57	R57.8	""	""	""	R578    Other shock	0
R57.9	R579	Shock, unspecified	Root	R00-R99	R50-R69	R57	R57.9	""	""	""	R579    Shock, unspecified	0
R58	R58	Hemorrhage, not elsewhere classified	Root	R00-R99	R50-R69	R58	""	""	""	""	R58     Hemorrhage, not elsewhere classified	0
R59	R59	Enlarged lymph nodes	Root	R00-R99	R50-R69	R59	""	""	""	""		0
R59.0	R590	Localized enlarged lymph nodes	Root	R00-R99	R50-R69	R59	R59.0	""	""	""	R590    Localized enlarged lymph nodes	0
R59.1	R591	Generalized enlarged lymph nodes	Root	R00-R99	R50-R69	R59	R59.1	""	""	""	R591    Generalized enlarged lymph nodes	0
R59.9	R599	Enlarged lymph nodes, unspecified	Root	R00-R99	R50-R69	R59	R59.9	""	""	""	R599    Enlarged lymph nodes, unspecified	0
R60	R60	Edema, not elsewhere classified	Root	R00-R99	R50-R69	R60	""	""	""	""		0
R60.0	R600	Localized edema	Root	R00-R99	R50-R69	R60	R60.0	""	""	""	R600    Localized edema	0
R60.1	R601	Generalized edema	Root	R00-R99	R50-R69	R60	R60.1	""	""	""	R601    Generalized edema	0
R60.9	R609	Edema, unspecified	Root	R00-R99	R50-R69	R60	R60.9	""	""	""	R609    Edema, unspecified	0
R61	R61	Generalized hyperhidrosis	Root	R00-R99	R50-R69	R61	""	""	""	""	R61     Generalized hyperhidrosis	0
R62	R62	Lack of expected normal physiological development in childhood and adults	Root	R00-R99	R50-R69	R62	""	""	""	""		0
R62.0	R620	Delayed milestone in childhood	Root	R00-R99	R50-R69	R62	R62.0	""	""	""	R620    Delayed milestone in childhood	0
R62.5	R625	Other and unspecified lack of expected normal physiological development in childhood	Root	R00-R99	R50-R69	R62	R62.5	""	""	""		0
R62.50	R6250	Unspecified lack of expected normal physiological development in childhood	Root	R00-R99	R50-R69	R62	R62.5	R62.50	""	""	R6250   Unspecified lack of expected normal physiological development in childhood	0
R62.51	R6251	Failure to thrive (child)	Root	R00-R99	R50-R69	R62	R62.5	R62.51	""	""	R6251   Failure to thrive (child)	0
R62.52	R6252	Short stature (child)	Root	R00-R99	R50-R69	R62	R62.5	R62.52	""	""	R6252   Short stature (child)	0
R62.59	R6259	Other lack of expected normal physiological development in childhood	Root	R00-R99	R50-R69	R62	R62.5	R62.59	""	""	R6259   Other lack of expected normal physiological development in childhood	0
R62.7	R627	Adult failure to thrive	Root	R00-R99	R50-R69	R62	R62.7	""	""	""	R627    Adult failure to thrive	0
R63	R63	Symptoms and signs concerning food and fluid intake	Root	R00-R99	R50-R69	R63	""	""	""	""		0
R63.0	R630	Anorexia	Root	R00-R99	R50-R69	R63	R63.0	""	""	""	R630    Anorexia	0
R63.1	R631	Polydipsia	Root	R00-R99	R50-R69	R63	R63.1	""	""	""	R631    Polydipsia	0
R63.2	R632	Polyphagia	Root	R00-R99	R50-R69	R63	R63.2	""	""	""	R632    Polyphagia	0
R63.3	R633	Feeding difficulties	Root	R00-R99	R50-R69	R63	R63.3	""	""	""		0
R63.30	R6330	Feeding difficulties, unspecified	Root	R00-R99	R50-R69	R63	R63.3	R63.30	""	""	R6330   Feeding difficulties, unspecified	0
R63.31	R6331	Pediatric feeding disorder, acute	Root	R00-R99	R50-R69	R63	R63.3	R63.31	""	""	R6331   Pediatric feeding disorder, acute	0
R63.32	R6332	Pediatric feeding disorder, chronic	Root	R00-R99	R50-R69	R63	R63.3	R63.32	""	""	R6332   Pediatric feeding disorder, chronic	0
R63.39	R6339	Other feeding difficulties	Root	R00-R99	R50-R69	R63	R63.3	R63.39	""	""	R6339   Other feeding difficulties	0
R63.4	R634	Abnormal weight loss	Root	R00-R99	R50-R69	R63	R63.4	""	""	""	R634    Abnormal weight loss	0
R63.5	R635	Abnormal weight gain	Root	R00-R99	R50-R69	R63	R63.5	""	""	""	R635    Abnormal weight gain	0
R63.6	R636	Underweight	Root	R00-R99	R50-R69	R63	R63.6	""	""	""	R636    Underweight	0
R63.8	R638	Other symptoms and signs concerning food and fluid intake	Root	R00-R99	R50-R69	R63	R63.8	""	""	""	R638    Other symptoms and signs concerning food and fluid intake	0
R64	R64	Cachexia	Root	R00-R99	R50-R69	R64	""	""	""	""	R64     Cachexia	0
R65	R65	Symptoms and signs specifically associated with systemic inflammation and infection	Root	R00-R99	R50-R69	R65	""	""	""	""		0
R65.1	R651	Systemic inflammatory response syndrome (SIRS) of non-infectious origin	Root	R00-R99	R50-R69	R65	R65.1	""	""	""		0
R65.10	R6510	Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction	Root	R00-R99	R50-R69	R65	R65.1	R65.10	""	""	R6510   Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction	0
R65.11	R6511	Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction	Root	R00-R99	R50-R69	R65	R65.1	R65.11	""	""	R6511   Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction	0
R65.2	R652	Severe sepsis	Root	R00-R99	R50-R69	R65	R65.2	""	""	""		0
R65.20	R6520	Severe sepsis without septic shock	Root	R00-R99	R50-R69	R65	R65.2	R65.20	""	""	R6520   Severe sepsis without septic shock	0
R65.21	R6521	Severe sepsis with septic shock	Root	R00-R99	R50-R69	R65	R65.2	R65.21	""	""	R6521   Severe sepsis with septic shock	0
R68	R68	Other general symptoms and signs	Root	R00-R99	R50-R69	R68	""	""	""	""		0
R68.0	R680	Hypothermia, not associated with low environmental temperature	Root	R00-R99	R50-R69	R68	R68.0	""	""	""	R680    Hypothermia, not associated with low environmental temperature	0
R68.1	R681	Nonspecific symptoms peculiar to infancy	Root	R00-R99	R50-R69	R68	R68.1	""	""	""		0
R68.11	R6811	Excessive crying of infant (baby)	Root	R00-R99	R50-R69	R68	R68.1	R68.11	""	""	R6811   Excessive crying of infant (baby)	0
R68.12	R6812	Fussy infant (baby)	Root	R00-R99	R50-R69	R68	R68.1	R68.12	""	""	R6812   Fussy infant (baby)	0
R68.13	R6813	Apparent life threatening event in infant (ALTE)	Root	R00-R99	R50-R69	R68	R68.1	R68.13	""	""	R6813   Apparent life threatening event in infant (ALTE)	0
R68.19	R6819	Other nonspecific symptoms peculiar to infancy	Root	R00-R99	R50-R69	R68	R68.1	R68.19	""	""	R6819   Other nonspecific symptoms peculiar to infancy	0
R68.2	R682	Dry mouth, unspecified	Root	R00-R99	R50-R69	R68	R68.2	""	""	""	R682    Dry mouth, unspecified	0
R68.3	R683	Clubbing of fingers	Root	R00-R99	R50-R69	R68	R68.3	""	""	""	R683    Clubbing of fingers	0
R68.8	R688	Other general symptoms and signs	Root	R00-R99	R50-R69	R68	R68.8	""	""	""		0
R68.81	R6881	Early satiety	Root	R00-R99	R50-R69	R68	R68.8	R68.81	""	""	R6881   Early satiety	0
R68.82	R6882	Decreased libido	Root	R00-R99	R50-R69	R68	R68.8	R68.82	""	""	R6882   Decreased libido	0
R68.83	R6883	Chills (without fever)	Root	R00-R99	R50-R69	R68	R68.8	R68.83	""	""	R6883   Chills (without fever)	0
R68.84	R6884	Jaw pain	Root	R00-R99	R50-R69	R68	R68.8	R68.84	""	""	R6884   Jaw pain	0
R68.89	R6889	Other general symptoms and signs	Root	R00-R99	R50-R69	R68	R68.8	R68.89	""	""	R6889   Other general symptoms and signs	0
R69	R69	Illness, unspecified	Root	R00-R99	R50-R69	R69	""	""	""	""	R69     Illness, unspecified	0
