distance_between,description,child,parent,do_not_evaluate
1,0-Enteroinvasive Escherichia coli infection,0-A04.2,2-A04.2,TRUE
1,0-Enterohemorrhagic Escherichia coli infection,0-A04.3,0-A04,TRUE
1,0-Enterohemorrhagic Escherichia coli infection,0-A04.3,0-Escherichia coli,TRUE
1,0-Enterohemorrhagic Escherichia coli infection,0-A04.3,2-A04.3,TRUE
1,0-Other intestinal Escherichia coli infections,0-A04.4,0-A04,TRUE
1,0-Other intestinal Escherichia coli infections,0-A04.4,0-Escherichia coli,TRUE
1,0-Other intestinal Escherichia coli infections,0-A04.4,2-A04.4,TRUE
1,0-Campylobacter enteritis,0-A04.5,0-A04,TRUE
1,0-Campylobacter enteritis,0-A04.5,2-A04.5,TRUE
1,0-Enteritis due to Yersinia enterocolitica,0-A04.6,0-A04,TRUE
1,0-Enteritis due to Yersinia enterocolitica,0-A04.6,2-A04.6,TRUE
1,0-Enterocolitis due to Clostridium difficile,0-A04.7,0-A04,TRUE
1,0-Enterocolitis due to Clostridium difficile,0-A04.7,2-A04.7,TRUE
1,"0-Enterocolitis due to Clostridium difficile, recurrent",0-A04.71,0-A04.7,TRUE
1,"0-Enterocolitis due to Clostridium difficile, recurrent",0-A04.71,2-A04.71,TRUE
1,"0-Enterocolitis due to Clostridium difficile, not specified as recurrent",0-A04.72,0-A04.7,TRUE
1,"0-Enterocolitis due to Clostridium difficile, not specified as recurrent",0-A04.72,2-A04.72,TRUE
1,0-Other specified bacterial intestinal infections,0-A04.8,0-A04,TRUE
1,0-Other specified bacterial intestinal infections,0-A04.8,2-A04.8,TRUE
1,"0-Bacterial intestinal infection, unspecified",0-A04.9,0-A04,TRUE
1,"0-Bacterial intestinal infection, unspecified",0-A04.9,2-A04.9,TRUE
1,"0-Other bacterial foodborne intoxications, not elsewhere classified",0-A05,0-A00-A09,TRUE
1,"0-Other bacterial foodborne intoxications, not elsewhere classified",0-A05,2-A05,TRUE
1,0-Foodborne staphylococcal intoxication,0-A05.0,0-A05,TRUE
1,0-Foodborne staphylococcal intoxication,0-A05.0,2-A05.0,TRUE
1,0-Botulism food poisoning,0-A05.1,0-A05,TRUE
1,0-Botulism food poisoning,0-A05.1,2-A05.1,TRUE
1,0-Foodborne Clostridium perfringens [Clostridium welchii] intoxication,0-A05.2,0-A05,TRUE
1,0-Foodborne Clostridium perfringens [Clostridium welchii] intoxication,0-A05.2,0-Clostridium perfringens,TRUE
1,0-Foodborne Clostridium perfringens [Clostridium welchii] intoxication,0-A05.2,2-A05.2,TRUE
1,0-Foodborne Vibrio parahaemolyticus intoxication,0-A05.3,0-A05,TRUE
1,0-Foodborne Vibrio parahaemolyticus intoxication,0-A05.3,2-A05.3,TRUE
1,0-Foodborne Bacillus cereus intoxication,0-A05.4,0-A05,TRUE
1,0-Foodborne Bacillus cereus intoxication,0-A05.4,2-A05.4,TRUE
1,0-Foodborne Vibrio vulnificus intoxication,0-A05.5,0-A05,TRUE
1,0-Foodborne Vibrio vulnificus intoxication,0-A05.5,0-Vibrio vulnificus,TRUE
1,0-Foodborne Vibrio vulnificus intoxication,0-A05.5,2-A05.5,TRUE
1,0-Other specified bacterial foodborne intoxications,0-A05.8,0-A05,TRUE
1,0-Other specified bacterial foodborne intoxications,0-A05.8,2-A05.8,TRUE
1,"0-Bacterial foodborne intoxication, unspecified",0-A05.9,0-A05,TRUE
1,"0-Bacterial foodborne intoxication, unspecified",0-A05.9,2-A05.9,TRUE
1,0-Amebiasis,0-A06,0-A00-A09,TRUE
1,0-Amebiasis,0-A06,2-A06,TRUE
1,0-Acute amebic dysentery,0-A06.0,0-A06,TRUE
1,0-Acute amebic dysentery,0-A06.0,2-A06.0,TRUE
1,0-Chronic intestinal amebiasis,0-A06.1,0-A06,TRUE
1,0-Chronic intestinal amebiasis,0-A06.1,2-A06.1,TRUE
1,0-Amebic nondysenteric colitis,0-A06.2,0-A06,TRUE
1,0-Amebic nondysenteric colitis,0-A06.2,2-A06.2,TRUE
1,0-Ameboma of intestine,0-A06.3,0-A06,TRUE
1,0-Ameboma of intestine,0-A06.3,2-A06.3,TRUE
1,0-Amebic liver abscess,0-A06.4,0-A06,TRUE
1,0-Amebic liver abscess,0-A06.4,2-A06.4,TRUE
1,0-Amebic lung abscess,0-A06.5,0-A06,TRUE
1,0-Amebic lung abscess,0-A06.5,2-A06.5,TRUE
1,0-Amebic brain abscess,0-A06.6,0-A06,TRUE
1,0-Amebic brain abscess,0-A06.6,2-A06.6,TRUE
1,0-Cutaneous amebiasis,0-A06.7,0-A06,TRUE
1,0-Cutaneous amebiasis,0-A06.7,2-A06.7,TRUE
1,0-Amebic infection of other sites,0-A06.8,0-A06,TRUE
1,0-Amebic infection of other sites,0-A06.8,2-A06.8,TRUE
1,0-Amebic cystitis,0-A06.81,0-A06.8,TRUE
1,0-Amebic cystitis,0-A06.81,2-A06.81,TRUE
1,0-Other amebic genitourinary infections,0-A06.82,0-A06.8,TRUE
1,0-Other amebic genitourinary infections,0-A06.82,2-A06.82,TRUE
1,0-Other amebic infections,0-A06.89,0-A06.8,TRUE
1,0-Other amebic infections,0-A06.89,2-A06.89,TRUE
1,"0-Amebiasis, unspecified",0-A06.9,0-A06,TRUE
1,"0-Amebiasis, unspecified",0-A06.9,2-A06.9,TRUE
1,0-Other protozoal intestinal diseases,0-A07,0-A00-A09,TRUE
1,0-Other protozoal intestinal diseases,0-A07,2-A07,TRUE
1,0-Balantidiasis,0-A07.0,0-A07,TRUE
1,0-Balantidiasis,0-A07.0,2-A07.0,TRUE
1,0-Giardiasis [lambliasis],0-A07.1,0-A07,TRUE
1,0-Giardiasis [lambliasis],0-A07.1,2-A07.1,TRUE
1,0-Cryptosporidiosis,0-A07.2,0-A07,TRUE
1,0-Cryptosporidiosis,0-A07.2,2-A07.2,TRUE
1,0-Isosporiasis,0-A07.3,0-A07,TRUE
1,0-Isosporiasis,0-A07.3,2-A07.3,TRUE
1,0-Cyclosporiasis,0-A07.4,0-A07,TRUE
1,0-Cyclosporiasis,0-A07.4,2-A07.4,TRUE
1,0-Other specified protozoal intestinal diseases,0-A07.8,0-A07,TRUE
1,0-Other specified protozoal intestinal diseases,0-A07.8,2-A07.8,TRUE
1,"0-Protozoal intestinal disease, unspecified",0-A07.9,0-A07,TRUE
1,"0-Protozoal intestinal disease, unspecified",0-A07.9,2-A07.9,TRUE
1,0-Viral and other specified intestinal infections,0-A08,0-A00-A09,TRUE
1,0-Viral and other specified intestinal infections,0-A08,2-A08,TRUE
1,0-Rotaviral enteritis,0-A08.0,0-A08,TRUE
1,0-Rotaviral enteritis,0-A08.0,2-A08.0,TRUE
1,0-Acute gastroenteropathy due to Norwalk agent and other small round viruses,0-A08.1,0-A08,TRUE
1,0-Acute gastroenteropathy due to Norwalk agent and other small round viruses,0-A08.1,2-A08.1,TRUE
1,0-Acute gastroenteropathy due to Norwalk agent,0-A08.11,0-A08.1,TRUE
1,0-Acute gastroenteropathy due to Norwalk agent,0-A08.11,2-A08.11,TRUE
1,0-Acute gastroenteropathy due to other small round viruses,0-A08.19,0-A08.1,TRUE
1,0-Acute gastroenteropathy due to other small round viruses,0-A08.19,2-A08.19,TRUE
1,0-Adenoviral enteritis,0-A08.2,0-A08,TRUE
1,0-Adenoviral enteritis,0-A08.2,2-A08.2,TRUE
1,0-Other viral enteritis,0-A08.3,0-A08,TRUE
1,0-Other viral enteritis,0-A08.3,2-A08.3,TRUE
1,0-Calicivirus enteritis,0-A08.31,0-A08.3,TRUE
1,0-Calicivirus enteritis,0-A08.31,2-A08.31,TRUE
1,0-Astrovirus enteritis,0-A08.32,0-A08.3,TRUE
1,0-Astrovirus enteritis,0-A08.32,2-A08.32,TRUE
1,0-Other viral enteritis,0-A08.39,0-A08.3,TRUE
1,0-Other viral enteritis,0-A08.39,2-A08.39,TRUE
1,"0-Viral intestinal infection, unspecified",0-A08.4,0-A08,TRUE
1,"0-Viral intestinal infection, unspecified",0-A08.4,2-A08.4,TRUE
1,0-Other specified intestinal infections,0-A08.8,0-A08,TRUE
1,0-Other specified intestinal infections,0-A08.8,2-A08.8,TRUE
1,"0-Infectious gastroenteritis and colitis, unspecified",0-A09,0-A00-A09,TRUE
